task_id,description,url,final_score,deterministic_score,gemini_score,penalty,explanation,detected_data_level,contains_individual_data,court_safe,used_for_voting_day
district_voters,Number of voters by district (aggregate),https://www.eci.gov.in/Documents/Final-ER-FAQ.pdf,0.363,0.833,0.1,0.2,"The document describes the process of updating electoral rolls and the involvement of political parties. While it mentions 'electors' and 'roll', it does not provide any aggregate data on the number of voters by district. The focus is on the procedural aspects of roll revision and transparency measures, not on data tabulation.",unclear,no,yes,no
district_voters,Number of voters by district (aggregate),https://ceo.gujarat.gov.in/ViewFile?fileName=OdeIrKRLMbeufDueN4gvPuRr59978xnP3YzyefEDSEm2Wpcz1HNHASH__HASHdrUmd1GBzvkRjgveWQ5tas4hNO879PswhHASH_HASHMQtnWxezpdn3Quo0jJabljfEHASH__HASHHASH__HASH715OANPKIbCuo3cYxPZhWnWHASH__HASHNDHASH__HASH6Xt6aJIdDLg==,0.683,0.833,0.7,0.0,"The document provides district-level electoral roll data, including total electors, male electors, and female electors, for the Jamnagar district. It also offers constituency-wise breakdowns of electors within the district. While it doesn't give a single aggregate number for 'voters by district' in the most direct way, it contains the necessary components to derive this information at the district level. The data is from an official electoral roll status analysis.",district,no,yes,no
district_voters,Number of voters by district (aggregate),https://elections24.eci.gov.in/docs/ZizaIySTAE.pdf,0.333,0.833,0.0,0.0,AI evaluation skipped (dry run or empty document).,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://ceo.gujarat.gov.in/ViewFile?fileName=OdeIrKRLMbeufDueN4gvPuRr59978xnP3YzyefEDSElaO62tI43DPHASH__HASHeymSMi9hT6LWos083oVmOqzsqH3PJJ68Fu4Vm15fbgQfbGHp1G9KYom5J8iVLXV4qe31JrbSDI,0.733,0.833,0.8,0.0,"The document provides electoral roll status updates and statistical analysis for the Tapi District in Gujarat for the 2012 State Legislative Assembly Elections. It explicitly lists 'Total Electors' for the State and for Tapi District across different years (2010, 2011, 2012). The task is to find the number of voters by district, and this document provides this data at the district level. While it also provides constituency-level data, the district aggregate is present. The key terms 'electors', 'district', and 'roll' are all present.",district,no,yes,no
district_voters,Number of voters by district (aggregate),https://www.ceoandaman.nic.in/election/ActionPlan/UT%20PROFILE%20ANI%202024.pdf,0.683,0.833,0.7,0.0,"The document provides detailed electoral roll statistics, including the number of electors by gender and status (General, Service, Overseas, PwDs, 80+ Age) as of specific dates. It also mentions population data at the district level from Census 2011 and projected population. Crucially, it states 'Total District 1.45%' for the percentage increase of electors from the draft roll to the final roll. While the total number of electors for the parliamentary constituency is provided, and the document lists the districts and tehsils within that constituency, it does not explicitly break down the *number of electors by each specific district*. The data is presented at the parliamentary constituency level with sub-district information (tehsils) but not an aggregate number of electors per district.",district,no,yes,no
district_voters,Number of voters by district (aggregate),https://rti.eci.gov.in/public/download/disclosure/6.pdf,0.333,0.833,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://hindi.eci.gov.in/files/file/3351-special-summary-revision-of-electoral-rolls-in-165-assembly-constituencies-not-affected-by-tsunami-in-tamil-nadu-2005/?do=download&r=7753&confirm=1&t=1&csrfKey=425f0a7bd224c683a48636da03993947,0.267,0.667,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://www.eci.gov.in/eci-backend/public/api/download?url=LMAhAK6sOPBp%2FNFF0iRfXbEB1EVSLT41NNLRjYNJJP1KivrUxbfqkDatmHy12e%2FzVx8fLfn2ReU7TfrqYobgIvZ0n19tFMJzYNUMlQdr0LSqdxInuthjtzMEf7FQu2OqdtjQjVSaWEoXcHWTWtuQ2UVk4VB4Sl65%2BgZZOXFvTbY%3D,0.267,0.667,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://hindi.eci.gov.in/files/file/3587-sveep-plan-of-west-bengal/?do=download&r=8393&confirm=1&t=1&csrfKey=99a7ea0537dc453570fc035a30568ad2,0.267,0.667,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://cdnbbsr.s3waas.gov.in/s31c6a0198177bfcc9bd93f6aab94aad3c/uploads/2022/06/2022061399-2.pdf,0.267,0.667,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://ceoassam.nic.in/summary/2026/Special_Revision_Schedule-2026.pdf,0.267,0.667,0.0,0.0,AI evaluation skipped (dry run or empty document).,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://elections24.eci.gov.in/docs/3GLQ7fJO8Q.pdf,0.267,0.667,0.0,0.0,AI evaluation skipped (dry run or empty document).,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://cms.tn.gov.in/cms_migrated/document/docfiles/public_elections_e_pn_2024_25.pdf,0.267,0.667,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://ceoodisha.nic.in/docs/EROLL_ANALYSIS/FORMAT1TO8_DRAFT_2021/Format3A.pdf,0.267,0.667,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://www.ceoandaman.nic.in/election/downloads/RTI-information.pdf,0.267,0.667,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
district_voters,Number of voters by district (aggregate),https://hindi.eci.gov.in/files/file/4000-%E0%A4%85%E0%A4%B8%E0%A4%AE-%E0%A4%B5%E0%A4%BF%E0%A4%A7%E0%A4%BE%E0%A4%A8%E0%A4%B8%E0%A4%AD%E0%A4%BE-%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%9A%E0%A4%A8-1985/?do=download&r=9481&confirm=1&t=1&csrfKey=b46f25cdcba93faea0d0a52448d2ed27,0.2,0.5,0.0,0.0,Gemini could not confidently assess this document.,unknown,no,yes,no
